ITEM,PRICE
Sony DSC-RX10 II Open Box Sale,"₱35,499.00"
Reto Ultra Wide Slim Film Camera,"₱1,499.00"
Insta360 X3 Camera,"₱25,890.00"
Insta360 Go 3 64GB,"₱22,000.00"
Insta360 Ace Pro Action Camera,"₱26,990.00"
Insta360 Ace Action Camera,"₱21,990.00"
Panasonic DC-G9M2 with 12-60mm Leica Lens Camera Kit,"₱179,990.00"
Panasonic DC-G9M2 Digital Camera Body Only,"₱139,990.00"
Viltrox AF 27mm F1.2 Sony E Mount Lens,"₱25,929.00"
Viltrox AF 27mm F1.2 Nikon Z Mount Lens,"₱25,929.00"
Lomography Lomo'Instant Automat Riviera Instant Camera,"₱6,953.00"
Sony Alpha A6400 Mirrorless Camera Body Black,"₱45,999.00"
Fujifilm X-T5 Body Mirrorless Digital Camera,"₱101,191.00"
Fujifilm Instax Mini 12,"₱4,409.00"
DJI Mini 3 Pro,"₱32,490.00"
GoPro Hero 12 Black,"₱24,990.00"
Fujifilm Instax Mini 12 City Pop Edition,"₱5,039.00"
Insta360 Go 3 128GB,"₱25,000.00"
Viltrox 24mm F1.8 FE Lens,"₱15,545.00"
Canon EOS R50 with 18-45mm Kit,"₱48,758.00"
Sony ZV-E10 16-50mm Vlogging Camera,"₱42,999.00"
Nikon Z30 Mirrorless Camera with 16-50mm,"₱49,900.00"
Nikon Z 40mm F2 WW Lens,"₱20,900.00"
Viltrox AF 20mm F2.8Z Auto Focus Prime Lens,"₱9,990.00"
Nikon ZF Mirrorless Digital Camera Body,"₱143,355.00"
Nikon Z7 with 24-70mm Kit,"₱205,200.00"
Nikon Z7 with 24-70mm  and F to Z mount adapter,"₱214,700.00"
Sony ZV-1 Digital Vlog Camera Unit (without Grip),"₱39,999.00"
Sony FE 24mm F2.8 G Lens,"₱34,800.00"
Sony Alpha a6400 Mirrorless Camera with 16-50mm Lens Kit,"₱51,999.00"
Thinktank Lens Case Duo 10 - Black,"₱1,170.00"
Thinktank Digital Holster 5,"₱1,920.00"
Thinktank Digital Holster 20 V2.0,"₱4,590.00"
Benro MH2N Smartphone Clip Holder,₱441.00
Benro BK15 Mini Tripod Selfie Stick For Smartphone Vlogging,"₱1,341.00"
Thinktank Mirrorless Mover 20 - Pewter,"₱3,790.00"
Thinktank Lens Case Duo 30 - Black,"₱1,540.00"
Thinktank Lens Case Duo 20 - Black,"₱1,540.00"
Lowepro Gearup Creator Box M II (Pouches & Cases),"₱1,990.00"
Saramonic SR-WM4C VHF Wireless Microphone,"₱4,990.00"
Saramonic Blink500 B2+ 4in1 Wireless Microphon,"₱6,450.00"
Rode WS6 Deluxe Windshield for NTG1 and NTG2,"₱3,220.00"
Rode SC6 Dual TRRS Input and Headphone Output for Smartphones,₱821.00
Rode M1 Live Dynamic Microphone,"₱5,060.00"
Joby Telepod Mobile,"₱2,990.00"
Joby GripTight ONE GP Stand + Magnetic + Impulse,"₱1,990.00"
Benro BPI QR-15 Quick Release Plate For Kh25P & Kh26P,₱990.00
Thinktank Lens Case Duo 15 - Black,"₱1,440.00"
Rode Wireless Go Compact Wireless Microphone System,"₱13,340.00"
RODE VideoMic Me,"₱3,634.00"
Rode NTG-2 Shotgun Mic,"₱13,800.00"
Rode NT1GEN5 NT1 5th Generation Studio Condenser  Microphone - Nickel,"₱13,340.00"
RODE NT1-A Anniversary Vocal Cardioid Condenser Microphone,"₱14,973.00"
Rode iXY Stereo Microphone for iPhone/iPad,"₱10,580.00"
Kodak Proimage 100 35mm/135 36 Exposures,"₱3,952.00"
Kodak Ektar 100 35mm 135/36 Shots Professional Film,"₱1,173.00"
Kodak 35mm 5 Packs 135-36 Portra 400 Professional Fim ,"₱6,489.00"
Kodak 35mm 135-36 Portra 800 Professional Film,"₱1,446.00"
Insta360 Rear View Mirror Mount,"₱2,290.00"
Insta360 Hand Mount Bundle,"₱2,099.00"
DJI Mini 3 Pro,"₱32,490.00"
DJI Mini 4 Pro RC-N2,"₱40,690.00"
DJI Mini 3 Fly More Combo Plus (DJI RC N1 no LCD),"₱36,280.00"
DJI Mini 4 Pro with RC2 Standard,"₱50,690.00"
DJI Mini 4 Pro with RC2 Fly More Combo Plus,"₱61,380.00"
DJI Air 3 Fly More Combo (DJI RC2),"₱79,990.00"
DJI Air 3 (DJI RC-N2),"₱57,990.00"
DJI Avata Pro View Combo (DJI RC Motion 2),"₱49,697.00"
DJI Avata Explorer Combo,"₱41,109.00"
DJI Mavic 3 Pro Fly More Combo (DJI RC),"₱146,300.00"
DJI Mini 2 SE Fly More Combo,"₱24,390.00"
DJI Mavic 3 Classic with DJI RC,"₱74,690.00"
DJI Mavic 3 Classic Standard,"₱67,790.00"
DJI Mini 3 Fly More Combo Plus (DJI RC with LCD),"₱44,580.00"
DJI Avata Pro View Combo,"₱70,252.00"
DJI Avata Fly Smart Combo,"₱57,707.00"
DJI Mini 3 Pro (DJI RC),"₱38,990.00"
DJI Mavic 3 Fly More Combo,"₱137,490.00"
DJI Mavic 3 Cine Premium Combo,"₱271,490.00"
DJI Mavic 3,"₱106,990.00"
DJI Mavic Mini SE Fly More Combo,"₱22,960.00"
Pgytech Filter for Mavic Mini-UVETD,₱550.00
DJI Mini 2 Fly More Combo,"₱29,890.00"
DJI PHANTOM INSPIRE 1 QUICK RELEASE PROPELLERS (1345S),₱600.00
DJI Spark Pgytech Hand Guard,₱800.00
DJI PART 41 GRIP FOR RONIN-M / RONIN-MX,"₱14,000.00"
DJI Mavic Air 2S Standard Fly More Combo,"₱72,090.00"
Panasonic DC-G9M2 with 12-60mm Leica Lens Camera Kit,"₱179,990.00"
Panasonic DC-G9M2 Digital Camera Body Only,"₱139,990.00"
Benro Aluminum Tripod with S2 Pro Video Head A1573FS2PRO,"₱8,991.00"
Godox LDX100R LED Panel Light Bi-Color RGBWW,"₱27,800.00"
Aputure Light Dome Mini III,"₱7,220.00"
Aputure Amaran PT4C 2-Light Production Kit,"₱51,500.00"
Red Komodo 6K Camera,"₱380,000.00"
Sekonic Exposure Meters C-800 Spectrometer,"₱99,999.00"
Sony FE 300mm F2.8 GM OSS Lens [PreOrder],"₱360,990.00"
